parameter_set_id,name,module,country_id,scenario_id,policy_id,regime_code,value_type,unit,baseline_value,low_value,high_value,support_type,source_id,formula_id,distribution,truncation_rule,primary_spec_flag,robustness_flag,stress_flag,double_counting_risk,double_counting_note,audit_status,notes,is_lac_fallback,assumption_id,dataset_version,build_id,created_at,created_by_script,author_approval_date,author_approval_note
baseline-official-v2,lambda_AI_high,fiscal_channels_ai_rent,,high,,,calibrated_parameter,share_of_AI_shock,0.06,0.03,0.1,paper_bounded_scenario_grid,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_7_4_1,scenario_grid_zero_low_medium_high,bounded_PERT,declared,True,False,False,capital_profit_overlap,capital_profit_overlap,author_approved,"AI-rent share is an economic scenario object, not regime-indexed. Subset convention is used, so lambda_AI_Kbase mirrors this value.",False,OFFICIAL_V2_lambda_AI_high_GLOBAL_high__,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.595055+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,lambda_AI_low,fiscal_channels_ai_rent,,low,,,calibrated_parameter,share_of_AI_shock,0.0,0.0,0.02,paper_bounded_scenario_grid,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_7_4_1,scenario_grid_zero_low_medium_high,bounded_PERT,declared,True,False,False,capital_profit_overlap,capital_profit_overlap,author_approved,"AI-rent share is an economic scenario object, not regime-indexed. Subset convention is used, so lambda_AI_Kbase mirrors this value.",False,OFFICIAL_V2_lambda_AI_low_GLOBAL_low__,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.595055+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,lambda_AI_mid,fiscal_channels_ai_rent,,mid,,,calibrated_parameter,share_of_AI_shock,0.03,0.01,0.06,paper_bounded_scenario_grid,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_7_4_1,scenario_grid_zero_low_medium_high,bounded_PERT,declared,True,False,False,capital_profit_overlap,capital_profit_overlap,author_approved,"AI-rent share is an economic scenario object, not regime-indexed. Subset convention is used, so lambda_AI_Kbase mirrors this value.",False,OFFICIAL_V2_lambda_AI_mid_GLOBAL_mid__,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.595055+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,lambda_AI_stress,fiscal_channels_ai_rent,,stress,,,calibrated_parameter,share_of_AI_shock,0.1,0.05,0.15,paper_bounded_scenario_grid,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_7_4_1,scenario_grid_zero_low_medium_high,bounded_PERT,declared,True,False,True,capital_profit_overlap,capital_profit_overlap,author_approved,"AI-rent share is an economic scenario object, not regime-indexed. Subset convention is used, so lambda_AI_Kbase mirrors this value.",False,OFFICIAL_V2_lambda_AI_stress_GLOBAL_stress__,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.595055+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,base_broadening_delta_r1,fiscal_regime,,,,r1,calibrated_parameter,relative_base_broadening_index,0.05,0.02,0.08,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1;PAPER_APP_FISCAL_CONVERSION,base_side_margin_only_when_not_already_in_effective_rate,bounded_PERT,declared,True,False,False,base_vs_rate_same_margin,base_vs_rate_same_margin,author_approved,Registered for regime audit. Primary effective-rate convention does not apply base-side and rate-side margins twice.,False,OFFICIAL_V2_base_broadening_delta_r1_GLOBAL___r1,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,leakage_multiplier_r1,fiscal_regime,,,,r1,calibrated_parameter,relative_leakage_multiplier,0.75,0.6,0.9,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1,high_medium_low_leakage_order_encoded_as_multiplier,bounded_PERT,declared,True,False,False,leakage_vs_technology_shifting,leakage_vs_technology_shifting,author_approved,Only a pre-run ordered scalar for later engine use; leakage is not subtracted here.,False,OFFICIAL_V2_leakage_multiplier_r1_GLOBAL___r1,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,tau_C_relative_delta_r1,fiscal_regime,,,,r1,calibrated_parameter,relative_delta_to_observed_effective_rate,0.1,0.05,0.15,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1;PAPER_APP_FISCAL_CONVERSION;brollo2024fiscal,tau_j_r=tau_j_observed*(1+relative_delta_r),bounded_PERT,declared,True,False,False,regime_mechanical_upper_bound,regime_mechanical_upper_bound,author_approved,Mechanical reform-regime delta for pre-run calibration; no behavioral result is computed here.,False,OFFICIAL_V2_tau_C_relative_delta_r1_GLOBAL___r1,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,tau_K_relative_delta_r1,fiscal_regime,,,,r1,calibrated_parameter,relative_delta_to_observed_effective_rate,0.1,0.05,0.15,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1;PAPER_APP_FISCAL_CONVERSION;brollo2024fiscal,tau_j_r=tau_j_observed*(1+relative_delta_r),bounded_PERT,declared,True,False,False,regime_mechanical_upper_bound,regime_mechanical_upper_bound,author_approved,Mechanical reform-regime delta for pre-run calibration; no behavioral result is computed here.,False,OFFICIAL_V2_tau_K_relative_delta_r1_GLOBAL___r1,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,tau_L_relative_delta_r1,fiscal_regime,,,,r1,calibrated_parameter,relative_delta_to_observed_effective_rate,0.1,0.05,0.15,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1;PAPER_APP_FISCAL_CONVERSION;brollo2024fiscal,tau_j_r=tau_j_observed*(1+relative_delta_r),bounded_PERT,declared,True,False,False,regime_mechanical_upper_bound,regime_mechanical_upper_bound,author_approved,Mechanical reform-regime delta for pre-run calibration; no behavioral result is computed here.,False,OFFICIAL_V2_tau_L_relative_delta_r1_GLOBAL___r1,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
baseline-official-v2,base_broadening_delta_r2,fiscal_regime,,,,r2,calibrated_parameter,relative_base_broadening_index,0.1,0.05,0.2,calibrated_mechanical_reform_grid,PLAN_02_SEC_15_1;PAPER_APP_FISCAL_CONVERSION,base_side_margin_only_when_not_already_in_effective_rate,bounded_PERT,declared,True,False,False,base_vs_rate_same_margin,base_vs_rate_same_margin,author_approved,Registered for regime audit. Primary effective-rate convention does not apply base-side and rate-side margins twice.,False,OFFICIAL_V2_base_broadening_delta_r2_GLOBAL___r2,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z-baseline-official-v2-author-approved,2026-07-09T11:07:42.596058+00:00,materialize_official_v2_author_signature.py,2026-07-08,ratificacion del autor registrada pre-resultados
