parameter_set_id,name,module,country_id,scenario_id,policy_id,regime_code,value_type,unit,baseline_value,low_value,high_value,support_type,source_id,formula_id,distribution,truncation_rule,primary_spec_flag,robustness_flag,stress_flag,double_counting_risk,double_counting_note,audit_status,notes,is_lac_fallback,assumption_id,dataset_version,build_id,created_at,created_by_script
baseline-official-v1,A_aipi_total,adoption_translation,PER,,,,observed,index_0_to_1,0.491133,0.0,1.0,official_4c_country_specific,IMF_AIPI_DATA360,observed AIPI carried to 2024,fixed_observed,0_to_1,True,False,False,none,none,registered,observed AIPI carried to 2024,False,A4A_PER_A_AIPI_TOTAL,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,Gap_excluded_indicators,adoption_translation,PER,,,,observed,index_0_to_1,0.26508123256559324,0.0,1.0,official_4c_country_specific,ITU_DATAHUB;OOKLA_SPEEDTEST_OPEN_DATA;IMF_AIPI_NOTE_COMPONENTS,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",fixed_observed,0_to_1,True,False,False,none,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",registered,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",False,A4A_PER_GAP_EXCLUDED_INDICATORS,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,I_adopt_informality,adoption_translation,PER,,,,observed,share,0.6746800000000001,0.0,1.0,official_4c_country_specific,ILOSTAT,country-specific informality anchor,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific informality anchor,False,A4A_PER_I_ADOPT_INFORMALITY,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target,adoption_translation,PER,,,,calibrated_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,bounded_PERT,0_to_1,True,False,False,none,none,registered,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,False,A4A_PER_Q_USE_TARGET,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_bar,adoption_translation,PER,,,,derived_parameter,share,0.5301193837172034,0.295179075575805,0.7650596918586017,official_4c_country_specific,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,1 - omega_I*I - omega_G*Gap,False,A4A_PER_Q_BAR,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target_adj,adoption_translation,PER,,,,derived_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,PLAN_02_SEC_7_3,Target projected to interior support,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Target projected to interior support,False,A4A_PER_Q_USE_TARGET_ADJ,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_prod_t0,adoption_translation,PER,,,,derived_parameter,share,0.1106241740078193,0.07743692180547351,0.1438114262101651,official_4c_country_specific,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Initial condition q_prod_t0=q_use_target_adj,False,A4A_PER_Q_PROD_T0,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,mu_t0_derived_not_free,adoption_translation,PER,,,,derived_parameter,unitless,-1.3541658538070795,-1.3541658538070795,-1.3541658538070795,official_4c_country_specific,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",fixed_derived,declared,True,False,False,none,none,registered,"Derived by logit inversion; primitive is q_use_target, not mu",False,A4A_PER_MU_T0_DERIVED_NOT_FREE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,labor_share,fiscal_channels,PER,,,,observed,share,0.447212278842926,0.447212278842926,0.447212278842926,official_4c_country_specific,PWT_10_01,country-specific PWT labsh,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific PWT labsh,False,A4A_PER_LABOR_SHARE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_L_eff,fiscal_channels,PER,,,,derived_parameter,effective_tax_rate,0.0804966095753286,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,fixed_derived,0_to_1,True,False,False,none,none,registered,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,False,A4A_PER_TAU_L_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_K_eff,fiscal_channels,PER,,,,derived_parameter,effective_tax_rate,0.0679185390505772,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),fixed_derived,0_to_1,True,False,False,none,none,registered,CIT_GDP/(1-labor_share),False,A4A_PER_TAU_K_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_C_eff,fiscal_channels,PER,,,,derived_parameter,effective_tax_rate,0.08476226759934355,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,fixed_derived,0_to_1,True,False,False,none,none,registered,VAT_GDP/final_consumption_GDP_share,False,A4A_PER_TAU_C_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,E_prod,fiscal_channels_labor,PER,,,,calibrated_parameter,share_of_tasks_or_employment,0.11,0.08,0.14,official_4c_country_specific,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,bounded_PERT,declared,True,False,False,none,none,registered,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,True,A4A_PER_E_PROD,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,E_auto,fiscal_channels_labor,PER,,,,calibrated_parameter,share_of_tasks_or_employment,0.035,0.02,0.05,official_4c_country_specific,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,bounded_PERT,declared,True,False,False,none,none,registered,LAC automation-risk anchor.,True,A4A_PER_E_AUTO,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,m_M,fiscal_channels_consumption,PER,,,,derived_parameter,share,0.30730450686855254,0.30730450686855254,0.30730450686855254,official_4c_country_specific,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",fixed_derived,0_to_1,True,False,False,none,none,registered,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",False,A4A_PER_M_M,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,theta_R_dom,fiscal_channels_consumption,PER,,,,derived_parameter,share,0.6926954931314475,0.6926954931314475,0.6926954931314475,official_4c_country_specific,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,fixed_derived,0_to_1,True,False,False,none,none,registered,theta_R_dom anchored to (1-m_M) by author-review convention.,False,A4A_PER_THETA_R_DOM,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
