parameter_name,module,country_id,baseline_value,low_value,high_value,distribution,truncation_rule,source_id,justification,double_counting_note,parameter_set_id,dataset_version,assumption_id,created_at,created_by_script,audit_status,author_approval_date,author_approval_note,is_observed,is_scenario,is_structural_unobserved,sensitivity_level,included_in_primary
A_aipi_total,adoption_translation,PER,0.491133,0.441133,0.541133,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,A: incertidumbre de puntajes de indices compuestos. La literatura ancla la existencia y el orden de magnitud de la incertidumbre; el rango exacto +/-0.05 es declaracion del autor dentro de esa clase. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_A_aipi_total_PER,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
Gap_excluded_indicators,adoption_translation,PER,0.26508123256559324,0.21508123256559325,0.31508123256559323,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,Gap: incertidumbre de puntajes de indices compuestos construidos desde cobertura ITU y velocidades Ookla excluidas del AIPI. La literatura ancla clase y orden de magnitud; +/-0.05 es declaracion del autor. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_Gap_excluded_indicators_PER,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
I_adopt_informality,adoption_translation,PER,0.6746800000000001,0.63468,0.7146800000000001,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Gasparini_Tornarolli_2007_CEDLAS_WP46;Gasparini_Tornarolli_2009_followup,I: dispersion inter-definicion de informalidad en LAC. Gasparini y Tornarolli documentan brechas de varios puntos porcentuales; +/-0.04 es conservador frente a ese orden de magnitud. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_I_adopt_informality_PER,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
q_use_target,adoption_translation,PER,0.1106241740078193,0.07743692180547351,0.1438114262101651,bounded_PERT,0_to_1,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_Q_USE_TARGET,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_bar,adoption_translation,PER,0.5301193837172034,0.295179075575805,0.7650596918586017,derived_bounded_PERT,0_to_1,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_Q_BAR,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_use_target_adj,adoption_translation,PER,0.1106241740078193,0.07743692180547351,0.1438114262101651,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Target projected to interior support,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_Q_USE_TARGET_ADJ,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_prod_t0,adoption_translation,PER,0.1106241740078193,0.07743692180547351,0.1438114262101651,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_Q_PROD_T0,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
mu_t0_derived_not_free,adoption_translation,PER,-1.3541658538070795,-1.3541658538070795,-1.3541658538070795,fixed_derived,declared,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_MU_T0_DERIVED_NOT_FREE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
labor_share,fiscal_channels,PER,0.447212278842926,0.447212278842926,0.447212278842926,fixed_observed,0_to_1,PWT_10_01,country-specific PWT labsh,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_LABOR_SHARE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,True,False,False,baseline,True
tau_L_eff,fiscal_channels,PER,0.0804966095753286,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_TAU_L_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
