policy_parameter_id,country_id,policy_id,year,age_threshold,eta_policy,chi_gmi,theta_target,benefit_formula,eligible_population_rule,gross_or_net_convention,existing_spending_treatment,poverty_line_convention,indexation_rule,source_id,assumption_id,source_url,dataset_version,created_at,created_by_script
PER_PEN_2024_OFFICIAL,PER,PEN,2024,65.0,,,,S/250 every two months * 6 = S/1500 annual,age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,MIDIS_PENSION65,,https://www.gob.pe/pension65,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER_GMI_ideal_aggregate_2024,PER,GMI,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER_GMI_loaded_aggregate_2024,PER,GMI,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER_MUT_2024_ASSUMED_ETA,PER,MUT,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER_PBI_2024_ASSUMED_ETA,PER,PBI,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
PER_UBI_2024_ASSUMED_ETA,PER,UBI,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL_PEN_2024_OFFICIAL,CHL,PEN,2024,65.0,,,,"PGU maximum CLP 214,296 monthly from 2024-02-01 * 12",age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,SP_CHILE_PGU_2024,,https://www.spensiones.cl/portal/institucional/594/w3-article-15857.html,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL_GMI_ideal_aggregate_2024,CHL,GMI,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL_GMI_loaded_aggregate_2024,CHL,GMI,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL_MUT_2024_ASSUMED_ETA,CHL,MUT,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL_PBI_2024_ASSUMED_ETA,CHL,PBI,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL_UBI_2024_ASSUMED_ETA,CHL,UBI,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL_PEN_2024_OFFICIAL,COL,PEN,2024,,,,,"Colombia Mayor differential 2024: monthly 80,000 below 80; monthly 225,000 for 80+","female age>=54, male age>=59; COP 80,000 monthly under 80 and COP 225,000 monthly age>=80",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,PROSPERIDAD_SOCIAL_COLOMBIA_MAYOR_2024,,https://prosperidadsocial.gov.co/colombia-mayor/,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL_GMI_ideal_aggregate_2024,COL,GMI,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
