run_id,run_type,variant_id,diagnostic_key,diagnostic_value,diagnostic_note,diagnostic_family,expected_verdict,verdict,rank_change,parameter_set_id,dataset_version
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R6_gap_residualized,gap_residualized_vs_excluded|PER,"{""delta"": 0.22582785834349772, ""gap_excluded_indicators"": 0.26508123256559324, ""gap_residualized"": 0.49090909090909096}",K3 check: residualized Gap recomputed from international ITU LTE coverage vs AIPI; no silent fallback.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R6_gap_residualized,gap_residualized_vs_excluded|CHL,"{""delta"": 0.5234700278011292, ""gap_excluded_indicators"": 0.0886511843200829, ""gap_residualized"": 0.6121212121212121}",K3 check: residualized Gap recomputed from international ITU LTE coverage vs AIPI; no silent fallback.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R6_gap_residualized,gap_residualized_vs_excluded|COL,"{""delta"": -0.04456905027271407, ""gap_excluded_indicators"": 0.23850844421210804, ""gap_residualized"": 0.19393939393939397}",K3 check: residualized Gap recomputed from international ITU LTE coverage vs AIPI; no silent fallback.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R6_gap_residualized,gap_residualized_vs_excluded|MEX,"{""delta"": 0.07301029277915982, ""gap_excluded_indicators"": 0.3512321314632644, ""gap_residualized"": 0.4242424242424242}",K3 check: residualized Gap recomputed from international ITU LTE coverage vs AIPI; no silent fallback.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R4_cost_net,existing_spending_treatment,pure_layering_zero_existing_spending,"K2: pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_frontier_alt_year,benchmark_year_coverage,not_available_in_snapshot,not_available_in_snapshot: frontier_benchmark_anchor contains benchmark years=[2024]; no alternate benchmark year exists.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_grd_mapping,not_available,"GRD 2025 has resource/non-resource fields, but the general-government total non-resource mapping is not clean for all four countries; PER has no non-null total_non_resource_revenue_inc_sc at general-government level. Non-resource plausibility remains not_available.",,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_grd_coverage|PER,"{""country"": ""PER"", ""general_government_nonresource_tax_ex_sc_nonnull"": 0, ""general_government_total_nonresource_nonnull"": 0, ""total_nonresource_year_max"": null, ""total_nonresource_year_min"": null}",K6 coverage audit for attempted non-resource mapping from GRD 2025.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_grd_coverage|CHL,"{""country"": ""CHL"", ""general_government_nonresource_tax_ex_sc_nonnull"": 44, ""general_government_total_nonresource_nonnull"": 32, ""total_nonresource_year_max"": 2022, ""total_nonresource_year_min"": 2007}",K6 coverage audit for attempted non-resource mapping from GRD 2025.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_grd_coverage|COL,"{""country"": ""COL"", ""general_government_nonresource_tax_ex_sc_nonnull"": 14, ""general_government_total_nonresource_nonnull"": 36, ""total_nonresource_year_max"": 2023, ""total_nonresource_year_min"": 2006}",K6 coverage audit for attempted non-resource mapping from GRD 2025.,,,,,baseline-official-v3,v1.0.1-official-4c
