name,module,country_id,scenario_id,policy_id,regime_code,baseline_value,low_value,high_value,unit,distribution,support_type,source_id,formula_id,double_counting_risk,audit_status,notes
A_aipi_total,adoption_translation,PER,,,,0.491133,0.0,1.0,share,fixed_observed,observed_anchor,IMF_AIPI_DATA360,published AIPI carried forward to 2024,none,registered,published AIPI carried forward to 2024
Gap_excluded_indicators_neutral,adoption_translation,PER,,,,0.0,0.0,0.0,share,fixed_zero,missing_excluded_indicator_neutral_convention,PLAN_01_GAP_AIPI_RULE;DATA_QUALITY_REPORT,No excluded non-AIPI gap indicator is present; neutral value avoids double counting overlapping ITU/AIPI indicators.,gap_aipi_overlap,registered_author_review,No excluded non-AIPI gap indicator is present; neutral value avoids double counting overlapping ITU/AIPI indicators.
I_adopt_informality,adoption_translation,PER,,,,0.7137300000000001,0.0,1.0,share,fixed_observed,observed_anchor,ILOSTAT,ILOSTAT informality share divided by 100,none,registered,ILOSTAT informality share divided by 100
I_ceiling_informality,adoption_translation,PER,,,,0.7137300000000001,0.0,1.0,share,fixed_observed,observed_anchor,ILOSTAT,Same observed informality used for adoption ceiling; diffusion effect is inert in frozen baseline after mu inversion.,none,registered,Same observed informality used for adoption ceiling; diffusion effect is inert in frozen baseline after mu inversion.
beta_translation,adoption_translation,PER,,,,1.0,0.5,2.0,unitless,bounded_PERT,paper_elasticity_grid,PAPER_TRANSLATION_MODULE,"Baseline unit elasticity; sensitivity grid {0.5,1,1.5,2}.",none,registered,"Baseline unit elasticity; sensitivity grid {0.5,1,1.5,2}."
epsilon,adoption_translation,PER,,,,1e-09,1e-09,1e-09,share,fixed,technical_floor,PLAN_02_SEC_9_3,Numerical floor for support checks.,none,registered,Numerical floor for support checks.
epsilon_mu,adoption_translation,PER,,,,1e-06,1e-06,1e-06,share,fixed,technical_floor,PAPER_APP_ADOPTION_MODULE;PLAN_02_SEC_7_3,Logit inversion floor.,none,registered,Logit inversion floor.
gamma_translation,adoption_translation,PER,,,,1.0,0.5,2.0,unitless,bounded_PERT,paper_elasticity_grid,PAPER_TRANSLATION_MODULE,"Baseline unit elasticity; sensitivity grid {0.5,1,1.5,2}.",none,registered,"Baseline unit elasticity; sensitivity grid {0.5,1,1.5,2}."
lambda_q_baseline_mid,adoption_translation,PER,,,,0.3,0.15,0.5,unitless,discrete_grid,paper_grid,PAPER_ADOPTION_MODULE;PLAN_02_SEC_7_3,"Baseline diffusion-speed grid {0.15,0.30,0.50}; frozen baseline keeps q_prod at anchor.",none,registered,"Baseline diffusion-speed grid {0.15,0.30,0.50}; frozen baseline keeps q_prod at anchor."
lambda_q_stress_instant,adoption_translation,PER,,,,1.0,1.0,1.0,unitless,fixed_stress,stress_only,PAPER_ADOPTION_MODULE,"Instant-adoption stress only, not baseline primary.",none,registered,"Instant-adoption stress only, not baseline primary."
mu_t0_derived_not_free,adoption_translation,PER,,,,-1.7051933577034264,-1.7051933577034264,-1.7051933577034264,unitless,fixed_derived,derived_not_free,PLAN_02_SEC_7_3;PAPER_APP_ADOPTION_MODULE,"log(q_adj/(q_bar-q_adj))-nu_A*A+nu_I*I+nu_G*Gap. Primitive is q_use_target, not mu.",none,registered,"log(q_adj/(q_bar-q_adj))-nu_A*A+nu_I*I+nu_G*Gap. Primitive is q_use_target, not mu."
nu_A,adoption_translation,PER,,,,1.0,0.25,2.0,unitless,bounded_PERT,calibrated_prior_inert_in_frozen_baseline,PAPER_ADOPTION_MODULE;diffusion_literature,Preparedness coefficient; inert in frozen baseline because mu is inverted to target.,none,registered_author_review,Preparedness coefficient; inert in frozen baseline because mu is inverted to target.
nu_G,adoption_translation,PER,,,,0.5,0.0,1.0,unitless,bounded_PERT,calibrated_prior_inert_in_frozen_baseline,PAPER_ADOPTION_MODULE,Gap coefficient; inert in frozen baseline because mu is inverted to target.,none,registered_author_review,Gap coefficient; inert in frozen baseline because mu is inverted to target.
nu_I,adoption_translation,PER,,,,0.5,0.0,1.0,unitless,bounded_PERT,calibrated_prior_inert_in_frozen_baseline,PAPER_ADOPTION_MODULE;worldbank2021informality,Informality coefficient; inert in frozen baseline because mu is inverted to target.,none,registered_author_review,Informality coefficient; inert in frozen baseline because mu is inverted to target.
omega_G,adoption_translation,PER,,,,0.5,0.25,0.75,share,bounded_PERT,calibrated_prior,PAPER_ADOPTION_MODULE,Digital-gap ceiling penalty. Gap baseline is neutral because no excluded indicator is available.,none,registered_author_review,Digital-gap ceiling penalty. Gap baseline is neutral because no excluded indicator is available.
omega_I,adoption_translation,PER,,,,0.5,0.25,0.75,share,bounded_PERT,calibrated_prior,PAPER_ADOPTION_MODULE;worldbank2021informality,Informality ceiling penalty; omega_I<1 is the paper's economic restriction.,none,registered_author_review,Informality ceiling penalty; omega_I<1 is the paper's economic restriction.
q_bar,adoption_translation,PER,,,,0.643135,0.4647024999999999,0.8215675,share,derived_bounded_PERT,derived_from_registered_inputs,PAPER_ADOPTION_MODULE,"max(0,min(1,1-omega_I*I_ceiling-omega_G*Gap))",none,registered,"max(0,min(1,1-omega_I*I_ceiling-omega_G*Gap))"
q_prod_t0,adoption_translation,PER,,,,0.11067357435335731,0.08,0.14,share,derived_bounded_PERT,paper_initial_condition,PLAN_02_SEC_7_3;PAPER_APP_ADOPTION_MODULE,Default initial condition q_prod_t0=q_use_target_adj.,none,registered,Default initial condition q_prod_t0=q_use_target_adj.
