parameter_set_id,assumption_id,parameter_name,country_id,policy_id,scenario_id,regime_id,parameter_value,distribution,draw_rule,notes
baseline-official-v2,A4A_PER_A_AIPI_TOTAL,A_aipi_total,PER,,,,0.491133,fixed_observed,0_to_1,observed AIPI carried to 2024
baseline-official-v2,A4A_PER_GAP_EXCLUDED_INDICATORS,Gap_excluded_indicators,PER,,,,0.26508123256559324,fixed_observed,0_to_1,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note"
baseline-official-v2,A4A_PER_I_ADOPT_INFORMALITY,I_adopt_informality,PER,,,,0.6746800000000001,fixed_observed,0_to_1,country-specific informality anchor
baseline-official-v2,A4A_PER_Q_USE_TARGET,q_use_target,PER,,,,0.1106241740078193,bounded_PERT,0_to_1,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.
baseline-official-v2,A4A_PER_Q_BAR,q_bar,PER,,,,0.5301193837172034,derived_bounded_PERT,0_to_1,1 - omega_I*I - omega_G*Gap
baseline-official-v2,A4A_PER_Q_USE_TARGET_ADJ,q_use_target_adj,PER,,,,0.1106241740078193,derived_bounded_PERT,0_to_1,Target projected to interior support
baseline-official-v2,A4A_PER_Q_PROD_T0,q_prod_t0,PER,,,,0.1106241740078193,derived_bounded_PERT,0_to_1,Initial condition q_prod_t0=q_use_target_adj
baseline-official-v2,A4A_PER_MU_T0_DERIVED_NOT_FREE,mu_t0_derived_not_free,PER,,,,-1.3541658538070795,fixed_derived,declared,"Derived by logit inversion; primitive is q_use_target, not mu"
baseline-official-v2,A4A_PER_LABOR_SHARE,labor_share,PER,,,,0.447212278842926,fixed_observed,0_to_1,country-specific PWT labsh
baseline-official-v2,A4A_PER_TAU_L_EFF,tau_L_eff,PER,,,,0.0804966095753286,fixed_derived,0_to_1,(PIT_GDP+social_contrib_GDP)/labor_share_GDP
baseline-official-v2,A4A_PER_TAU_K_EFF,tau_K_eff,PER,,,,0.0679185390505772,fixed_derived,0_to_1,CIT_GDP/(1-labor_share)
baseline-official-v2,A4A_PER_TAU_C_EFF,tau_C_eff,PER,,,,0.08476226759934355,fixed_derived,0_to_1,VAT_GDP/final_consumption_GDP_share
baseline-official-v2,A4A_PER_E_PROD,E_prod,PER,,,,0.11,bounded_PERT,declared,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.
baseline-official-v2,A4A_PER_E_AUTO,E_auto,PER,,,,0.035,bounded_PERT,declared,LAC automation-risk anchor.
baseline-official-v2,A4A_PER_M_M,m_M,PER,,,,0.30730450686855254,fixed_derived,0_to_1,"imports_GDP_share/final_consumption_GDP_share capped [0,1]"
baseline-official-v2,A4A_PER_THETA_R_DOM,theta_R_dom,PER,,,,0.6926954931314475,fixed_derived,0_to_1,theta_R_dom anchored to (1-m_M) by author-review convention.
baseline-official-v2,A4A_PER_TAU_AVAILABLE_FROZEN_R0_NOTE,tau_available_frozen_r0_note,PER,,,,1.0,fixed_note,declared,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.
baseline-official-v2,A4A_CHL_A_AIPI_TOTAL,A_aipi_total,CHL,,,,0.585751,fixed_observed,0_to_1,observed AIPI carried to 2024
baseline-official-v2,A4A_CHL_GAP_EXCLUDED_INDICATORS,Gap_excluded_indicators,CHL,,,,0.0886511843200829,fixed_observed,0_to_1,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note"
baseline-official-v2,A4A_CHL_I_ADOPT_INFORMALITY,I_adopt_informality,CHL,,,,0.27458,fixed_observed,0_to_1,country-specific informality anchor
baseline-official-v2,A4A_CHL_Q_USE_TARGET,q_use_target,CHL,,,,0.13193619762722963,bounded_PERT,0_to_1,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.
baseline-official-v2,A4A_CHL_Q_BAR,q_bar,CHL,,,,0.8183844078399585,derived_bounded_PERT,0_to_1,1 - omega_I*I - omega_G*Gap
baseline-official-v2,A4A_CHL_Q_USE_TARGET_ADJ,q_use_target_adj,CHL,,,,0.13193619762722963,derived_bounded_PERT,0_to_1,Target projected to interior support
baseline-official-v2,A4A_CHL_Q_PROD_T0,q_prod_t0,CHL,,,,0.13193619762722963,derived_bounded_PERT,0_to_1,Initial condition q_prod_t0=q_use_target_adj
baseline-official-v2,A4A_CHL_MU_T0_DERIVED_NOT_FREE,mu_t0_derived_not_free,CHL,,,,-2.053347735445556,fixed_derived,declared,"Derived by logit inversion; primitive is q_use_target, not mu"
baseline-official-v2,A4A_CHL_LABOR_SHARE,labor_share,CHL,,,,0.4396144151687622,fixed_observed,0_to_1,country-specific PWT labsh
baseline-official-v2,A4A_CHL_TAU_L_EFF,tau_L_eff,CHL,,,,0.07823103988119534,fixed_derived,0_to_1,(PIT_GDP+social_contrib_GDP)/labor_share_GDP
baseline-official-v2,A4A_CHL_TAU_K_EFF,tau_K_eff,CHL,,,,0.0758952644530852,fixed_derived,0_to_1,CIT_GDP/(1-labor_share)
baseline-official-v2,A4A_CHL_TAU_C_EFF,tau_C_eff,CHL,,,,0.117114874990871,fixed_derived,0_to_1,VAT_GDP/final_consumption_GDP_share
